Date,Ph,Temperature,Salinity,Sump,Treatment
9/20/21,8.02,21.60,30.80,orange,"PDS, PLS"
9/20/21,8.10,22.10,34.20,yellow,"NDS, NLS"
9/20/21,8.20,21.90,30.10,green,"PDF, PLF"
9/20/21,7.97,22.20,33.40,blue,"NDF, NLF"
9/21/21,8.00,21.60,31.00,orange,"PDS, PLS"
9/21/21,8.08,22.10,34.30,yellow,"NDS, NLS"
9/21/21,8.16,21.20,29.40,green,"PDF, PLF"
9/21/21,7.95,22.20,33.80,blue,"NDF, NLF"
9/22/21,8.01,23.50,33.30,orange,"PDS, PLS"
9/22/21,8.08,24.40,36.10,yellow,"NDS, NLS"
9/22/21,8.19,23.50,34.40,green,"PDF, PLF"
9/22/21,7.98,24.20,35.80,blue,"NDF, NLF"
9/23/21,8.04,21.30,32.70,orange,"PDS, PLS"
9/23/21,8.09,22.10,33.50,yellow,"NDS, NLS"
9/23/21,8.18,20.80,29.70,green,"PDF, PLF"
9/23/21,7.98,21.70,31.00,blue,"NDF, NLF"
9/24/21,8.06,21.50,32.70,orange,"PDS, PLS"
9/24/21,8.10,22.50,33.50,yellow,"NDS, NLS"
9/24/21,8.18,21.20,29.80,green,"PDF, PLF"
9/24/21,7.96,22.20,28.40,blue,"NDF, NLF"
9/27/21,8.05,22.30,36.70,orange,"PDS, PLS"
9/27/21,8.10,22.20,33.50,yellow,"NDS, NLS"
9/27/21,8.21,23.00,36.10,green,"PDF, PLF"
9/27/21,7.96,22.10,34.30,blue,"NDF, NLF"
9/28/21,8.01,28.50,35.30,orange,"PDS, PLS"
9/28/21,8.08,23.20,32.90,yellow,"NDS, NLS"
9/28/21,8.20,22.10,31.30,green,"PDF, PLF"
9/28/21,7.97,22.70,35.10,blue,"NDF, NLF"
9/29/21,8.02,29.78,35.10,orange,"PDS, PLS"
9/29/21,8.08,26.50,35.15,yellow,"NDS, NLS"
9/29/21,8.22,22.25,33.25,green,"PDF, PLF"
9/29/21,7.97,22.30,34.94,blue,"NDF, NLF"
9/30/21,8.01,29.20,34.00,orange,"PDS, PLS"
9/30/21,8.09,27.20,35.30,yellow,"NDS, NLS"
9/30/21,8.20,23.10,34.30,green,"PDF, PLF"
9/30/21,7.95,22.10,34.20,blue,"NDF, NLF"
10/1/21,8.01,29.55,34.15,orange,"PDS, PLS"
10/1/21,8.08,30.65,38.30,yellow,"NDS, NLS"
10/1/21,8.19,25.90,35.30,green,"PDF, PLF"
10/1/21,7.96,22.60,35.30,blue,"NDF, NLF"
10/2/21,8.00,30.40,35.70,orange,"PDS, PLS"
10/2/21,8.10,30.70,40.00,yellow,"NDS, NLS"
10/2/21,8.17,25.30,35.30,green,"PDF, PLF"
10/2/21,7.95,23.30,36.60,blue,"NDF, NLF"
10/3/21,7.99,29.60,35.80,orange,"PDS, PLS"
10/3/21,8.08,29.50,39.70,yellow,"NDS, NLS"
10/3/21,8.17,25.10,35.20,green,"PDF, PLF"
10/3/21,7.94,22.00,36.10,blue,"NDF, NLF"
10/4/21,7.97,30.20,34.60,orange,"PDS, PLS"
10/4/21,8.10,29.20,37.30,yellow,"NDS, NLS"
10/4/21,8.18,28.90,38.20,green,"PDF, PLF"
10/4/21,7.96,26.00,36.70,blue,"NDF, NLF"
10/5/21,7.96,29.60,34.70,orange,"PDS, PLS"
10/5/21,8.10,29.70,40.10,yellow,"NDS, NLS"
10/5/21,8.19,29.10,39.20,green,"PDF, PLF"
10/5/21,7.93,30.20,39.90,blue,"NDF, NLF"
10/6/21,7.96,28.85,34.85,orange,"PDS, PLS"
10/6/21,8.07,29.20,37.85,yellow,"NDS, NLS"
10/6/21,8.15,30.50,39.35,green,"PDF, PLF"
10/6/21,7.91,29.75,38.10,blue,"NDF, NLF"
10/7/21,7.95,29.55,32.80,orange,"PDS, PLS"
10/7/21,8.04,30.65,36.95,yellow,"NDS, NLS"
10/7/21,8.12,29.45,39.10,green,"PDF, PLF"
10/7/21,7.90,29.80,38.65,blue,"NDF, NLF"
10/8/21,7.95,30.20,34.05,orange,"PDS, PLS"
10/8/21,8.08,29.55,37.75,yellow,"NDS, NLS"
10/8/21,8.19,30.10,42.00,green,"PDF, PLF"
10/8/21,7.92,30.05,38.35,blue,"NDF, NLF"
10/9/21,7.98,29.30,31.90,orange,"PDS, PLS"
10/9/21,8.07,30.20,35.50,yellow,"NDS, NLS"
10/9/21,8.16,29.50,37.20,green,"PDF, PLF"
10/9/21,7.92,29.10,35.60,blue,"NDF, NLF"
10/10/21,7.96,30.40,33.60,orange,"PDS, PLS"
10/10/21,8.07,29.50,36.60,yellow,"NDS, NLS"
10/10/21,8.16,31.00,39.60,green,"PDF, PLF"
10/10/21,7.92,29.80,36.80,blue,"NDF, NLF"
10/11/21,7.96,28.90,32.70,orange,"PDS, PLS"
10/11/21,8.07,29.70,37.30,yellow,"NDS, NLS"
10/11/21,8.15,28.80,29.80,green,"PDF, PLF"
10/11/21,7.93,29.20,36.60,blue,"NDF, NLF"
10/12/21,7.95,29.60,29.80,orange,"PDS, PLS"
10/12/21,8.07,29.00,37.30,yellow,"NDS, NLS"
10/12/21,8.15,28.60,32.20,green,"PDF, PLF"
10/12/21,7.93,29.10,36.50,blue,"NDF, NLF"
10/13/21,7.96,29.60,31.90,orange,"PDS, PLS"
10/13/21,8.08,30.20,37.70,yellow,"NDS, NLS"
10/13/21,8.14,30.20,35.85,green,"PDF, PLF"
10/13/21,7.92,29.60,37.00,blue,"NDF, NLF"
10/14/21,7.96,29.90,32.55,orange,"PDS, PLS"
10/14/21,8.07,30.35,37.55,yellow,"NDS, NLS"
10/14/21,8.15,29.75,36.05,green,"PDF, PLF"
10/14/21,7.92,29.85,37.45,blue,"NDF, NLF"
10/15/21,7.93,30.90,34.40,orange,"PDS, PLS"
10/15/21,8.04,30.10,37.70,yellow,"NDS, NLS"
10/15/21,8.14,30.00,37.30,green,"PDF, PLF"
10/15/21,7.91,29.00,36.50,blue,"NDF, NLF"
10/16/21,7.95,29.90,33.30,orange,"PDS, PLS"
10/16/21,8.08,29.60,35.20,yellow,"NDS, NLS"
10/16/21,8.17,30.10,35.20,green,"PDF, PLF"
10/16/21,7.86,30.40,34.40,blue,"NDF, NLF"
10/17/21,7.97,30.80,34.90,orange,"PDS, PLS"
10/17/21,8.06,28.90,35.40,yellow,"NDS, NLS"
10/17/21,8.14,28.80,35.00,green,"PDF, PLF"
10/17/21,7.92,31.10,34.90,blue,"NDF, NLF"
10/18/21,8.00,29.10,35.20,orange,"PDS, PLS"
10/18/21,8.09,30.20,36.40,yellow,"NDS, NLS"
10/18/21,8.18,30.30,35.20,green,"PDF, PLF"
10/18/21,7.93,29.90,34.50,blue,"NDF, NLF"
10/19/21,7.97,30.30,36.40,orange,"PDS, PLS"
10/19/21,8.05,30.80,36.40,yellow,"NDS, NLS"
10/19/21,8.14,29.80,35.40,green,"PDF, PLF"
10/19/21,7.90,29.80,34.10,blue,"NDF, NLF"
10/20/21,7.98,29.00,35.80,orange,"PDS, PLS"
10/20/21,8.05,31.00,37.90,yellow,"NDS, NLS"
10/20/21,8.14,29.10,36.50,green,"PDF, PLF"
10/20/21,7.82,29.00,15.80,blue,"NDF, NLF"
10/20/21,7.97,30.20,36.65,orange,"PDS, PLS"
10/20/21,8.06,29.30,36.65,yellow,"NDS, NLS"
10/20/21,8.14,29.10,36.75,green,"PDF, PLF"
10/20/21,7.86,30.85,32.35,blue,"NDF, NLF"
10/21/21,7.96,30.90,36.10,orange,"PDS, PLS"
10/21/21,8.03,29.95,34.95,yellow,"NDS, NLS"
10/21/21,8.16,30.40,37.20,green,"PDF, PLF"
10/21/21,7.90,30.70,33.90,blue,"NDF, NLF"
10/22/21,7.91,29.45,34.75,orange,"PDS, PLS"
10/22/21,7.99,30.75,36.50,yellow,"NDS, NLS"
10/22/21,8.14,30.40,37.45,green,"PDF, PLF"
10/22/21,7.94,29.75,36.00,blue,"NDF, NLF"
10/23/21,7.86,30.80,36.50,orange,"PDS, PLS"
10/23/21,7.96,29.05,35.75,yellow,"NDS, NLS"
10/23/21,8.18,29.35,37.40,green,"PDF, PLF"
10/23/21,7.96,29.50,37.15,blue,"NDF, NLF"
10/24/21,7.85,30.60,37.10,orange,"PDS, PLS"
10/24/21,7.94,30.20,37.10,yellow,"NDS, NLS"
10/24/21,8.13,29.00,36.40,green,"PDF, PLF"
10/24/21,7.95,29.20,37.90,blue,"NDF, NLF"
10/25/21,7.86,30.10,37.30,orange,"PDS, PLS"
10/25/21,7.93,30.20,37.80,yellow,"NDS, NLS"
10/25/21,8.06,30.00,36.00,green,"PDF, PLF"
10/25/21,7.94,29.90,37.67,blue,"NDF, NLF"
10/26/21,7.87,28.30,37.10,orange,"PDS, PLS"
10/26/21,7.94,28.20,37.30,yellow,"NDS, NLS"
10/26/21,8.03,28.50,36.80,green,"PDF, PLF"
10/26/21,7.94,28.80,35.68,blue,"NDF, NLF"
10/27/21,7.93,19.90,32.30,orange,"PDS, PLS"
10/27/21,8.01,20.30,32.00,yellow,"NDS, NLS"
10/27/21,8.08,20.40,32.00,green,"PDF, PLF"
10/27/21,7.93,21.07,31.28,blue,"NDF, NLF"